,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
362,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
363,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
364,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
365,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
366,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
367,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
370,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
371,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,
372,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
373,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
374,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
375,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
376,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
377,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
378,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
379,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
380,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
381,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
382,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
384,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
385,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
386,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
387,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
388,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
389,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
395,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
396,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,
400,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
401,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,
